pais_destino,ano,quantidade_kg,valor_usd,quantidade_litros,preco_medio_usd_litro
Afeganistão,2021,11,46.0,11,4.181818181818182
África do Sul,2019,26,95.0,26,3.6538461538461537
África do Sul,2020,4,21.0,4,5.25
África do Sul,2023,117,698.0,117,5.965811965811966
"Alemanha, República Democrática",2009,225086,393482.0,225086,1.7481407106617026
"Alemanha, República Democrática",2010,27715,138666.0,27715,5.003283420530399
"Alemanha, República Democrática",2011,36070,144150.0,36070,3.996395896867203
"Alemanha, República Democrática",2012,8189,56342.0,8189,6.880205153254366
"Alemanha, República Democrática",2013,61699,265978.0,61699,4.310896448888961
"Alemanha, República Democrática",2014,213348,761653.0,213348,3.5700029997937643
"Alemanha, República Democrática",2015,10680,44780.0,10680,4.192883895131086
"Alemanha, República Democrática",2016,14012,68109.0,14012,4.860762203825293
"Alemanha, República Democrática",2017,15467,87702.0,15467,5.670265727031745
"Alemanha, República Democrática",2018,10794,45382.0,10794,4.204372799703539
"Alemanha, República Democrática",2019,3660,25467.0,3660,6.9581967213114755
"Alemanha, República Democrática",2020,6261,32605.0,6261,5.207634563168823
"Alemanha, República Democrática",2021,2698,6741.0,2698,2.498517420311342
"Alemanha, República Democrática",2022,7630,45367.0,7630,5.945871559633027
"Alemanha, República Democrática",2023,4806,31853.0,4806,6.6277569704536
Angola,2009,54786,84235.0,54786,1.5375278355784325
Angola,2010,33557,189891.0,33557,5.6587597222636115
Angola,2011,13889,69001.0,13889,4.968032255741954
Angola,2012,2833,8861.0,2833,3.1277797387927992
Angola,2013,1573,9300.0,1573,5.912269548633185
Angola,2014,12182,23124.0,12182,1.8982104744705304
Angola,2015,1908,17089.0,1908,8.95649895178197
Angola,2016,7359,35390.0,7359,4.8090773202880825
Angola,2017,10170,61680.0,10170,6.064896755162242
Angola,2018,477,709.0,477,1.4863731656184487
Angola,2019,345,1065.0,345,3.0869565217391304
Angola,2022,4068,4761.0,4068,1.170353982300885
Antígua e Barbuda,2018,37,191.0,37,5.162162162162162
Antígua e Barbuda,2019,219,1549.0,219,7.073059360730594
