pais_origem,ano,quantidade_kg,valor_usd,quantidade_litros,preco_medio_usd_litro
Africa do Sul,2009,493093,1931449.0,493093,3.917007542187782
Africa do Sul,2010,966276,3600658.0,966276,3.726324569791654
Africa do Sul,2011,507509,2136394.0,507509,4.20956869730389
Africa do Sul,2012,722327,3041449.0,722327,4.21062621222798
Africa do Sul,2013,475331,1985184.0,475331,4.176424428450911
Africa do Sul,2014,722715,3033932.0,722715,4.197964619524986
Africa do Sul,2015,743335,2996543.0,743335,4.031214728218099
Africa do Sul,2016,578829,1686226.0,578829,2.913167792214972
Africa do Sul,2017,1138732,3241298.0,1138732,2.846409866412817
Africa do Sul,2018,1127053,3574371.0,1127053,3.1714311571860416
Africa do Sul,2019,1092042,3604038.0,1092042,3.3002741652793572
Africa do Sul,2020,627150,1701072.0,627150,2.7123845969863667
Africa do Sul,2021,859169,2508140.0,859169,2.9192626828947508
Africa do Sul,2022,738116,2266827.0,738116,3.071098580710891
Africa do Sul,2023,522733,1732850.0,522733,3.3149810706421827
Alemanha,2009,56075,291876.0,56075,5.205100312082033
Alemanha,2010,192661,784674.0,192661,4.0728222110338885
Alemanha,2011,198025,933545.0,198025,4.71427850018937
Alemanha,2012,113243,591167.0,113243,5.220340330086628
Alemanha,2013,114866,414070.0,114866,3.60480908188672
Alemanha,2014,115804,483316.0,115804,4.173569134054091
Alemanha,2015,95171,358275.0,95171,3.7645396181609945
Alemanha,2016,158386,606333.0,158386,3.8281981993358
Alemanha,2017,83289,315959.0,83289,3.7935261559149467
Alemanha,2018,142971,516975.0,142971,3.615943093354596
Alemanha,2019,101055,412794.0,101055,4.084844886447974
Alemanha,2020,136992,504168.0,136992,3.680273300630694
Alemanha,2021,106541,546967.0,106541,5.13386395847608
Alemanha,2022,92600,438595.0,92600,4.736447084233261
Alemanha,2023,102456,557947.0,102456,5.445723042086359
Arábia Saudita,2018,563,3249.0,563,5.770870337477797
Arábia Saudita,2021,2510,8761.0,2510,3.4904382470119524
Arábia Saudita,2023,8,161.0,8,20.125
Argentina,2009,13902750,38521731.0,13902750,2.770799374224524
Argentina,2010,16965266,52126581.0,16965266,3.072547226786777
Argentina,2011,16673491,58806736.0,16673491,3.526960010953915
Argentina,2012,14613839,55633562.0,14613839,3.8069094643782515
Argentina,2013,12732815,49524694.0,12732815,3.88953220477954
Argentina,2014,13437321,53815956.0,13437321,4.004961703303806
Argentina,2015,12465041,48043201.0,12465041,3.854235296939657
Argentina,2016,14098009,45214862.0,14098009,3.2071806735263113
Argentina,2017,15461740,51770842.0,15461740,3.3483192706642333
Argentina,2018,15221318,52817642.0,15221318,3.469978223961946
Argentina,2019,16548931,54527380.0,16548931,3.2949185660390996
Argentina,2020,22610267,66322932.0,22610267,2.933310429284183
Argentina,2021,26869241,79527959.0,26869241,2.9598141235176683
Argentina,2022,27980574,87519642.0,27980574,3.1278715726131994
Argentina,2023,25276991,83918138.0,25276991,3.319941760472993
Armênia,2022,2385,13668.0,2385,5.730817610062893
Armênia,2023,3542,24336.0,3542,6.870694522868436
Austrália,2009,270908,998680.0,270908,3.686417529198104
Austrália,2010,405271,1864846.0,405271,4.601479010341229
Austrália,2011,824440,2811273.0,824440,3.4099182475377225
Austrália,2012,615334,2474783.0,615334,4.021853172423432
Austrália,2013,553190,1703815.0,553190,3.0799815614888195
Austrália,2014,236742,1008851.0,236742,4.261394260418514
Austrália,2015,395030,1261810.0,395030,3.194213097739412
Austrália,2016,498515,1537834.0,498515,3.084829944936461
Austrália,2017,354641,1246545.0,354641,3.5149489201756143
Austrália,2018,3518,21664.0,3518,6.158044343376918
Austrália,2019,16292,1214643.0,16292,74.55456665848268
Austrália,2020,212595,792051.0,212595,3.725633246313413
Austrália,2021,366875,1383093.0,366875,3.7699298126064735
Austrália,2022,579279,1590059.0,579279,2.744893220710573
Austrália,2023,432829,1568550.0,432829,3.623948487739962
Áustria,2009,1895,12073.0,1895,6.370976253298153
Áustria,2010,2329,30075.0,2329,12.913267496779733
Áustria,2011,6357,56227.0,6357,8.844895390907661
Áustria,2012,8098,85116.0,8098,10.510743393430477
Áustria,2013,56849,227204.0,56849,3.996622631884466
Áustria,2014,2770,32116.0,2770,11.594223826714801
Áustria,2015,360,3891.0,360,10.808333333333334
Áustria,2016,1485,7551.0,1485,5.084848484848485
Áustria,2017,2655,24629.0,2655,9.276459510357816
Áustria,2018,513995,1567866.0,513995,3.050352629889396
Áustria,2019,348289,128379.0,348289,0.368599065718412
Áustria,2020,6540,52348.0,6540,8.004281345565749
Áustria,2021,13427,141822.0,13427,10.562448797199671
Áustria,2022,7403,53974.0,7403,7.290828042685398
Áustria,2023,16832,145475.0,16832,8.642763783269961
Bermudas,2021,10,141.0,10,14.1
Bermudas,2022,1,4.0,1,4.0
Bermudas,2023,6,879.0,6,146.5
Bélgica,2016,7,1090.0,7,155.71428571428572
Bélgica,2017,4376,45221.0,4376,10.333866544789762
Bélgica,2018,163,1201.0,163,7.368098159509202
Bélgica,2019,7,30.0,7,4.285714285714286
Bolívia,2023,1170,10920.0,1170,9.333333333333334
Bósnia-Herzegovina,2020,1218,902.0,1218,0.7405582922824302
Brasil,2010,7,232.0,7,33.142857142857146
Brasil,2011,93,1164.0,93,12.516129032258064
Brasil,2012,1051,15016.0,1051,14.287345385347288
Brasil,2013,473,5747.0,473,12.150105708245244
Brasil,2014,449,6011.0,449,13.387527839643653
Brasil,2015,1359,12919.0,1359,9.50625459896983
Brasil,2016,183,2127.0,183,11.62295081967213
Brasil,2017,845617,260135.0,845617,0.30762744836019146
Brasil,2018,18040,121806.0,18040,6.7519955654101995
Brasil,2019,29295,246008.0,29295,8.397610513739545
Brasil,2020,4347,41213.0,4347,9.480791350356569
Brasil,2021,12602,39816.0,12602,3.159498492302809
Brasil,2022,1,5.0,1,5.0
Brasil,2023,6229,76894.0,6229,12.344517579065661
Bulgária,2010,20997,94727.0,20997,4.511454017240558
Bulgária,2011,1097,2527.0,1097,2.30355515041021
Bulgária,2013,5947,21988.0,5947,3.6973263830502776
Bulgária,2014,15019,46857.0,15019,3.1198481922897665
Bulgária,2015,17244,51678.0,17244,2.9968684759916493
Bulgária,2016,17777,55253.0,17777,3.1081172301288182
Bulgária,2017,35284,68234.0,35284,1.9338510372973585
Bulgária,2018,16166,17550.0,16166,1.0856117778052703
Bulgária,2019,10944,9915.0,10944,0.9059758771929824
Bulgária,2020,23110,58319.0,23110,2.5235395932496756
Bulgária,2021,34185,105623.0,34185,3.0897469650431475
Bulgária,2022,29929,43221.0,29929,1.4441177453306158
Bulgária,2023,40281,95232.0,40281,2.364191554330826
Canada,2011,2322,35032.0,2322,15.0869939707149
Canada,2014,1530,25958.0,1530,16.966013071895425
Canada,2018,301,17418.0,301,57.8671096345515
Canada,2022,884,11607.0,884,13.130090497737557
Canada,2023,14,1062.0,14,75.85714285714286
Chile,2009,22476643,61380795.0,22476643,2.7308702193650536
Chile,2010,26434744,72983389.0,26434744,2.760888813600767
Chile,2011,26642889,84952500.0,26642889,3.1885618710493446
Chile,2012,30258795,93315735.0,30258795,3.08392105501888
Chile,2013,28288212,90281256.0,28288212,3.191479758423756
Chile,2014,35479279,113375484.0,35479279,3.1955408113000265
Chile,2015,36686870,107684380.0,36686870,2.935229415864586
Chile,2016,43400991,123183079.0,43400991,2.8382549836246826
Chile,2017,51787643,145628860.0,51787643,2.812038771488403
Chile,2018,51104825,144731210.0,51104825,2.832045897818846
Chile,2019,52697108,145471294.0,52697108,2.7605175980435206
Chile,2020,72726186,176540499.0,72726186,2.427468133692588
Chile,2021,69617587,182568098.0,69617587,2.622442199842405
Chile,2022,68881232,184335335.0,68881232,2.676132955926224
Chile,2023,62358765,170146247.0,62358765,2.7285057200860217
China,2016,108,213.0,108,1.9722222222222223
China,2017,1000,613.0,1000,0.613
China,2018,5,472.0,5,94.4
China,2019,317,2458.0,317,7.753943217665615
Croácia,2011,450,12388.0,450,27.52888888888889
Croácia,2012,630,16571.0,630,26.303174603174604
Croácia,2015,2069,3779.0,2069,1.8264862252295795
Croácia,2019,450,2900.0,450,6.444444444444445
Croácia,2021,17343,78954.0,17343,4.552499567548867
Croácia,2022,887,35563.0,887,40.09357384441939
Croácia,2023,1107,9160.0,1107,8.274616079494129
Cuba,2023,8,261.0,8,32.625
Emirados Árabes Unidos,2014,35,1138.0,35,32.51428571428571
Emirados Árabes Unidos,2015,529,10093.0,529,19.079395085066164
Emirados Árabes Unidos,2016,2175,35489.0,2175,16.316781609195402
Eslovênia,2011,3600,62602.0,3600,17.389444444444443
Eslovênia,2012,433,1223.0,433,2.8244803695150114
Eslovênia,2013,2192,25307.0,2192,11.545164233576642
Eslovênia,2014,4190,23377.0,4190,5.579236276849642
Eslovênia,2015,4640,24190.0,4640,5.213362068965517
Eslovênia,2016,14366,46972.0,14366,3.2696644855909787
Eslovênia,2018,20976,68521.0,20976,3.2666380625476736
Eslovênia,2019,30968,101190.0,30968,3.2675665202789976
Eslovênia,2020,11392,39771.0,11392,3.491134129213483
Eslovênia,2021,42944,172141.0,42944,4.008499441132638
Eslovênia,2022,31509,127726.0,31509,4.053635469231013
Eslovênia,2023,28806,124283.0,28806,4.314483093799903
Eslováquia,2016,1305,3878.0,1305,2.971647509578544
Eslováquia,2017,21424,64828.0,21424,3.025952203136669
Eslováquia,2018,10800,17938.0,10800,1.660925925925926
Eslováquia,2019,459,3160.0,459,6.8845315904139435
Espanha,2009,1119540,6224187.0,1119540,5.559593225789164
Espanha,2010,1622100,8698824.0,1622100,5.362692805622341
Espanha,2011,1999970,11175636.0,1999970,5.5879018185272775
Espanha,2012,2540209,11724946.0,2540209,4.615740673306803
Espanha,2013,2772104,13570874.0,2772104,4.895514021118977
Espanha,2014,2760797,12797753.0,2760797,4.635528436172598
Espanha,2015,3024533,11396855.0,3024533,3.7681370975287756
Espanha,2016,3948614,12221512.0,3948614,3.095139712314245
Espanha,2017,7240535,19834451.0,7240535,2.7393626299714042
Espanha,2018,5595268,19353631.0,5595268,3.4589283301532654
Espanha,2019,5797980,17111436.0,5797980,2.9512754442064306
Espanha,2020,7169384,19802061.0,7169384,2.762031019680352
Espanha,2021,8793911,23795616.0,8793911,2.705919584585289
Espanha,2022,6487047,17187749.0,6487047,2.6495490166789297
Espanha,2023,6591628,20097228.0,6591628,3.048902031486
Estados Unidos,2009,85393,702825.0,85393,8.230475565912897
Estados Unidos,2010,194774,1344921.0,194774,6.905033526035303
Estados Unidos,2011,369806,1756901.0,369806,4.750872078873788
Estados Unidos,2012,379329,1995929.0,379329,5.2617358546275135
Estados Unidos,2013,518888,2817086.0,518888,5.429082962026487
Estados Unidos,2014,788773,4171731.0,788773,5.288886663209821
Estados Unidos,2015,775131,3848755.0,775131,4.965296188644242
Estados Unidos,2016,725420,2924715.0,725420,4.031754018361776
Estados Unidos,2017,1372347,4110641.0,1372347,2.9953364564501546
Estados Unidos,2018,548655,2584781.0,548655,4.711122654491438
Estados Unidos,2019,534870,2400830.0,534870,4.48862340381775
Estados Unidos,2020,366584,2119234.0,366584,5.781032450952578
Estados Unidos,2021,506405,2809649.0,506405,5.548225234742943
Estados Unidos,2022,393211,3023220.0,393211,7.6885438098120344
Estados Unidos,2023,244276,1775713.0,244276,7.269289655962927
França,2009,2372448,16893114.0,2372448,7.120541314288027
França,2010,2799118,18778566.0,2799118,6.708743968635835
França,2011,3329437,22917012.0,3329437,6.883149313232237
França,2012,3181440,21636175.0,3181440,6.800749031884933
França,2013,3265362,23336291.0,3265362,7.146616822269629
França,2014,3592782,27480375.0,3592782,7.648773290447347
França,2015,3617130,19353291.0,3617130,5.350454918678621
França,2016,3831566,15940341.0,3831566,4.160267890465674
França,2017,5921728,25280255.0,5921728,4.269067238481741
França,2018,4653789,22688105.0,4653789,4.875189872166529
França,2019,5324383,24299524.0,5324383,4.563819695164679
França,2020,5658139,24894394.0,5658139,4.399749458258272
França,2021,6241310,31428188.0,6241310,5.035511455127208
França,2022,4911903,25955232.0,4911903,5.2841499516582475
França,2023,4899631,30421272.0,4899631,6.208890424605444
Geórgia,2013,33750,134202.0,33750,3.9763555555555556
Geórgia,2018,8164,20416.0,8164,2.500734933855953
Geórgia,2019,21748,41161.0,21748,1.8926338054073937
Geórgia,2020,20274,42948.0,20274,2.118378218407813
Geórgia,2021,19188,32901.0,19188,1.7146654158849282
Geórgia,2022,12506,26983.0,12506,2.157604349912042
Geórgia,2023,17173,29084.0,17173,1.6935887730740116
"Geórgia do Sul e Sandwich do Sul, Ilhas",2021,1838,2915.0,1838,1.5859630032644179
"Geórgia do Sul e Sandwich do Sul, Ilhas",2022,1788,2797.0,1788,1.5643176733780761
Grécia,2009,52474,190076.0,52474,3.6222891336661966
Grécia,2010,42449,196361.0,42449,4.625809795283752
Grécia,2011,82207,414329.0,82207,5.040069580449353
Grécia,2012,68966,323206.0,68966,4.686454194820636
Grécia,2013,13241,71175.0,13241,5.375349293859981
Grécia,2014,24244,107195.0,24244,4.421506352087114
Grécia,2015,55680,190185.0,55680,3.4156788793103448
Grécia,2016,6568,18637.0,6568,2.837545676004872
Grécia,2017,40775,139486.0,40775,3.420870631514408
Grécia,2018,41601,135185.0,41601,3.249561308622389
Grécia,2019,21251,70881.0,21251,3.335419509670133
Grécia,2020,61181,219292.0,61181,3.5843153920334743
